method,method_label,depth,target_age,n,accuracy,mean_answer_ce,mean_teacher_answer_ce,mean_ce_gap_to_full,mean_kl_to_full,source_tokens,represented_source_tokens,memory_positions,source_tokens_per_position,mean_compaction_ms_per_chunk
recurrent,Recurrent Still,2,newest,2,1.0,0.03333999146707356,0.00034263224733876996,0.03299735921973479,0.03269959893077612,128,128,64,2.0,51.07388715259731
recurrent,Recurrent Still,4,overall,8,1.0,0.0035748147495269222,0.0012762983601533051,0.002298516389373617,0.005199536222789902,256,256,64,4.0,51.6792645357782
recurrent,Recurrent Still,4,oldest,4,1.0,0.00234248556125749,0.0005425419503808371,0.0017999436108766531,0.004248100260156207,256,256,64,4.0,51.46383566898294
recurrent,Recurrent Still,4,middle,2,1.0,0.0004941788502037525,0.0009472433594055474,-0.00045306450920179486,0.0021261933143250644,256,256,64,4.0,52.73517989553511
recurrent,Recurrent Still,4,newest,2,1.0,0.009120109025388956,0.003072866180445999,0.006047242844942957,0.010175751056522131,256,256,64,4.0,51.05420690961182
recurrent,Recurrent Still,8,overall,8,1.0,0.0016751292230310355,0.001306233849390992,0.00036889537364004354,0.0035226848267484456,512,512,64,8.0,51.82689056528034
recurrent,Recurrent Still,8,oldest,4,1.0,0.0015216311344374844,0.0012097351245756727,0.00031189600986181176,0.003926996898371726,512,512,64,8.0,51.77241344063077
recurrent,Recurrent Still,8,middle,2,1.0,0.0021439919946715236,0.002127824816852808,1.6167177818715572e-05,0.0036832913756370544,512,512,64,8.0,52.222767495550215
recurrent,Recurrent Still,8,newest,2,1.0,0.0015132626285776496,0.0006776403315598145,0.0008356222970178351,0.0025534541346132755,512,512,64,8.0,51.53996788430959
recurrent,Recurrent Still,16,overall,8,1.0,0.0015340141217166092,0.0009807578535401262,0.000553256268176483,0.0036762437666766346,1024,1024,64,16.0,52.038117613847135
recurrent,Recurrent Still,16,oldest,4,1.0,0.0005536247117561288,0.0009454071841901168,-0.000391782472433988,0.0031979483319446445,1024,1024,64,16.0,52.05215986643452
recurrent,Recurrent Still,16,middle,2,1.0,0.004094288713531569,0.0016924092778936028,0.002401879435637966,0.006553953513503075,1024,1024,64,16.0,51.167034878744744
recurrent,Recurrent Still,16,newest,2,1.0,0.0009345183498226106,0.00033980776788666844,0.0005947105819359422,0.0017551248893141747,1024,1024,64,16.0,52.88111584377475
recurrent,Recurrent Still,32,overall,8,1.0,0.0005078789387766847,0.0007293547423614655,-0.0002214758035847808,0.003193429918610491,2048,2048,64,32.0,52.65803210750164
recurrent,Recurrent Still,32,oldest,4,1.0,0.0004198730857751798,0.001097138607292436,-0.0006772655215172563,0.004827719298191369,2048,2048,64,32.0,51.87620783181046
recurrent,Recurrent Still,32,middle,2,1.0,0.00037721726653217047,0.0002143749297829345,0.00016284233674923598,0.001387108932249248,2048,2048,64,32.0,53.12377666996326
recurrent,Recurrent Still,32,newest,2,1.0,0.0008145523170242086,0.0005087668250780553,0.00030578549194615334,0.0017311721458099782,2048,2048,64,32.0,53.755936096422374
recurrent,Recurrent Still,100,overall,8,1.0,0.0037309763425241727,0.0035880308569176123,0.0001429454856065604,0.0209257501992397,6400,6400,64,100.0,44.59673401492182
recurrent,Recurrent Still,100,oldest,4,1.0,0.0062103459050604215,0.004773684573592618,0.0014366613314678034,0.02815850730985403,6400,6400,64,100.0,46.62323060911149
recurrent,Recurrent Still,100,middle,2,1.0,0.0007745562761556357,0.0011892375187017024,-0.00041468124254606664,0.0044926193077117205,6400,6400,64,100.0,43.28464538324624
recurrent,Recurrent Still,100,newest,2,1.0,0.0017286572838202119,0.0036155167617835104,-0.0018868594779632986,0.022893366869539022,6400,6400,64,100.0,41.85582945821807
